"filename", "language", "JSON with Comments", "TypeScript", "vue", "CSS", "Markdown", "JSON", "HTML", "JavaScript", "Visual Basic", "Objective-C", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\router\index.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\DiagramEditor.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\KeywordEditor.css", "CSS", 0, 0, 0, 487, 0, 0, 0, 0, 0, 0, 2, 83, 572
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bigworldcontent.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bookdetail.css", "CSS", 0, 0, 0, 464, 0, 0, 0, 0, 0, 0, 13, 86, 563
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\global.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 8, 41
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\homecontent.css", "CSS", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 1, 36, 296
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\labeltop.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\readingcontent.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\recyclecontent.css", "CSS", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 7, 63
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\sidebarleft.css", "CSS", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 13, 109
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\flowControl.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 15
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\getStyle.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 9
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\hexToRgba.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 17
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\randomNum.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\showTimePipe.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 91
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\timeFormat.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 18
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\useCurrentInstance.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\bigworldPage.vue", "vue", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\detailPage.vue", "vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\homePage.vue", "vue", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\readingPage.vue", "vue", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\recyclePage.vue", "vue", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\specialeditorPage.vue", "vue", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\writerPage.vue", "vue", 0, 0, 1744, 0, 0, 0, 0, 0, 0, 0, 7, 49, 1800
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\tsconfig.json", "JSON with Comments", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\vite.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 26
"Total", "-", 15, 323, 7966, 1600, 101, 9866, 13, 11520, 21, 7, 240, 670, 32342
