"filename", "language", "JSON", "TypeScript", "JSON with Comments", "vue", "Markdown", "XML", "SCSS", "CSS", "JavaScript", "HTML", "Visual Basic", "Objective-C", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\mixin\mixin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 7, 72
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\multipleBar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\readingcontent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\recyclecontent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\sidebarleft.scss", "SCSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 13, 109
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\specialeditorTop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\timelineeditor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 1, 33, 221
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\toolbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\writerPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 3, 40, 252
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\flowControl.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 35
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\getStyle.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 9
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\hexToRgba.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 17
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\randomNum.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\showTimePipe.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 91
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\timeFormat.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 18
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\useCurrentInstance.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\bigworldPage.vue", "vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\detailPage.vue", "vue", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\homePage.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\readingPage.vue", "vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\recyclePage.vue", "vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\specialeditorPage.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\writerPage.vue", "vue", 0, 0, 0, 1094, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 1132
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\tsconfig.json", "JSON with Comments", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\vite.config.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 35
"Total", "-", 13268, 465, 15, 6879, 101, 35, 2083, 0, 387, 14, 21, 7, 221, 740, 24236
